kbproto 1.0.6-2
keyutils 1.5.9-1
kmod 19-1
krb5 1.13.1-1
lame 3.99.5-2
lcms 1.19-5
lcms2 2.6-1
ldb 1.1.19-1
ldns 1.6.17-2
less 471-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.0.28-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-curl 7.40.0-1
lib32-e2fsprogs 1.42.12-1
lib32-elfutils 0.161-1
lib32-expat 2.1.0-2
lib32-flac 1.3.1-1
lib32-fontconfig 2.11.1-1
lib32-freetype2 2.5.5-1
lib32-gcc-libs 4.9.2-3
lib32-gettext 0.19.4-1
lib32-glib2 2.42.1-1
lib32-glibc 2.21-2
lib32-glu 9.0.0-2
lib32-harfbuzz 0.9.38-1
lib32-icu 54.1-1
lib32-json-c 0.12-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.13.1-1
lib32-lcms2 2.6-1
lib32-libasyncns 0.8-7
lib32-libcanberra 0.30-4
lib32-libcap 2.24-1
lib32-libdbus 1.8.16-1
lib32-libdrm 2.4.59-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.6.2-1
lib32-libgpg-error 1.18-1
lib32-libice 1.0.9-1
lib32-libidn 1.29-1
lib32-libjpeg-turbo 1.4.0-1
lib32-libldap 2.4.40-1
lib32-libltdl 2.4.5-1
lib32-libmng 2.0.2-1
lib32-libnl 3.2.25-1
lib32-libogg 1.3.2-1
lib32-libpcap 1.6.2-1
lib32-libpciaccess 0.13.3-1
lib32-libpng 1.6.16-1
lib32-libpulse 6.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.25-3
lib32-libssh2 1.4.3-2
lib32-libtiff 4.0.3-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libusb 1.0.19-1
lib32-libvorbis 1.3.4-1
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11-1
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.1-2
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.4-1
lib32-libxrandr 1.4.2-1
lib32-libxrender 0.9.8-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxtst 1.2.2-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.3-1
lib32-llvm-libs 3.5.1-1
lib32-mesa 10.4.4-1
lib32-mesa-libgl 10.4.4-1
lib32-openssl 1.0.2-1
lib32-pcre 8.36-1
lib32-qt4 4.8.6-3
lib32-sqlite 3.8.8.2-1
lib32-systemd 218-1
lib32-tdb 1.3.4-1
lib32-util-linux 2.25.2-1
lib32-v4l-utils 1.6.0-1
lib32-wayland 1.6.1-1
lib32-xz 5.2.0-1
lib32-zlib 1.2.8-1
libabw 0.1.1-1
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.12.1-1
libassuan 2.1.3-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libbluray 0.7.0-1
libbsd 0.7.0-1
libcacard 2.2.0-2
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.24-2
libcap-ng 0.7.4-1
libcddb 1.3.2-4
libcdio 0.93-1
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.1-1
libcl 1.1-4
libclc 0.0.1.217247-1
libcroco 0.6.8-2
libcups 2.0.2-1
libdaemon 0.14-3
libdatrie 0.2.8-1
libdbus 1.8.16-1
libdca 0.0.5-4
libdrm 2.4.59-1
libdvbpsi 1:1.1.2-1
libdvdnav 5.0.2-1
libdvdread 5.0.1-1
libe-book 0.1.2-1
libebml 1.3.1-1
libedit 20141030_3.1-1
libepoxy 1.2-2
libetonyek 0.1.1-1
libevdev 1.3.2-1
